City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Kavaratti,IN,10.5669,72.642,81.21,66,0,10.0,clear sky
330,Sabang,ID,5.8933,95.3214,81.77,80,11,12.3,moderate rain
331,Dunedin,NZ,-45.8742,170.5036,57.99,87,4,1.99,clear sky
332,Cayenne,GF,4.9333,-52.3333,78.8,94,75,5.75,broken clouds
333,Thompson,CA,55.7435,-97.8558,-34.6,67,75,9.22,snow
334,Te Anau,NZ,-45.4167,167.7167,52.21,85,26,1.01,scattered clouds
335,Ust-Ilimsk,RU,58.0006,102.6619,7.09,94,100,5.93,overcast clouds
336,Karratha,AU,-20.7377,116.8463,78.58,76,16,11.12,few clouds
337,Celestun,MX,20.8667,-90.4,79.57,65,30,7.99,scattered clouds
338,Holland,US,42.7875,-86.1089,21.0,67,90,20.71,light snow
339,Pierre,US,44.3683,-100.351,-0.4,60,40,19.57,scattered clouds
340,Mehamn,NO,71.0357,27.8492,25.72,94,100,19.71,light snow
341,Saint George,US,37.1041,-113.5841,48.99,48,1,6.91,clear sky
342,Bima,ID,-8.4667,118.7167,76.46,86,69,1.88,broken clouds
343,Rafai,CF,4.95,23.9167,81.32,19,59,3.02,broken clouds
